source_route,element,attribute,label,raw_url,resolved_url,type,status,final_url,fragment,target_route,owner
"/404/","a","href","About HardMagic","company/","https://hardmagic.com/company/","internal","ok","https://hardmagic.com/company/","","/company/","route-owner"
"/404/","a","href","Operating model","company/operating-model/","https://hardmagic.com/company/operating-model/","internal","ok","https://hardmagic.com/company/operating-model/","","/company/operating-model/","route-owner"
"/404/","a","href","Privacy","privacy/","https://hardmagic.com/privacy/","internal","ok","https://hardmagic.com/privacy/","","/privacy/","route-owner"
"/404/","meta","content","og:url","https://hardmagic.com/404/","https://hardmagic.com/404/","metadata","ok","https://hardmagic.com/404/","","/404/","seo"
"/404/","meta","content","og:image","https://hardmagic.com/og-hardmagic.svg","https://hardmagic.com/og-hardmagic.svg","metadata","asset-ok","https://hardmagic.com/og-hardmagic.svg","","/og-hardmagic.svg/","seo"
"/accessibility/","link","href","canonical","https://hardmagic.com/accessibility/","https://hardmagic.com/accessibility/","metadata","ok","https://hardmagic.com/accessibility/","","/accessibility/","seo"
"/accessibility/","link","href","icon","favicon.svg","https://hardmagic.com/favicon.svg","asset","asset-ok","https://hardmagic.com/favicon.svg","","/favicon.svg/","site-build"
"/accessibility/","link","href","stylesheet","/assets/BaseLayout.DotBEs6i.css","https://hardmagic.com/assets/BaseLayout.DotBEs6i.css","asset","asset-ok","https://hardmagic.com/assets/BaseLayout.DotBEs6i.css","","/assets/BaseLayout.DotBEs6i.css/","site-build"
"/accessibility/","link","href","stylesheet","/assets/_..C56VTl3X.css","https://hardmagic.com/assets/_..C56VTl3X.css","asset","asset-ok","https://hardmagic.com/assets/_..C56VTl3X.css","","/assets/_..C56VTl3X.css/","site-build"
"/accessibility/","a","href","Skip to content","/accessibility/#main","https://hardmagic.com/accessibility/#main","internal","ok","https://hardmagic.com/accessibility/#main","main","/accessibility/","route-owner"
"/accessibility/","a","href","HardMagic home","./","https://hardmagic.com/","internal","ok","https://hardmagic.com/","","/","route-owner"
"/accessibility/","img","src","HardMagic","/assets/hardmagic-wordmark.3FJu5chC.svg","https://hardmagic.com/assets/hardmagic-wordmark.3FJu5chC.svg","asset","asset-ok","https://hardmagic.com/assets/hardmagic-wordmark.3FJu5chC.svg","","/assets/hardmagic-wordmark.3FJu5chC.svg/","site-build"
"/accessibility/","a","href","Selected creative practice Brands, campaigns, images, experiences, and intelligent media built to leave a mark. Explore →","portfolio/","https://hardmagic.com/portfolio/","internal","ok","https://hardmagic.com/portfolio/","","/portfolio/","route-owner"
